date,tvl_USD,SOL
4/28/2022,711468880.9,7228905.516
4/29/2022,710427672.4,7234497.683
4/30/2022,675684922.1,7186608.403
5/1/2022,611349757.4,7188967.044
5/2/2022,644931171.9,7190669.773
5/3/2022,622924055.5,7111005.2
5/4/2022,606643692.6,7055637.272
5/5/2022,653919523.6,7042752.004
5/6/2022,606292112.9,7227227.476
5/7/2022,591847726.4,7235302.279
5/8/2022,565828985.5,7183305.643
5/9/2022,542673704.4,7241442.546
5/10/2022,461073067.1,7220060.556
5/11/2022,488612182.7,7225853.042
5/12/2022,369216685.5,6942773.326
5/13/2022,323951552.6,6992263.168
5/14/2022,351480487.2,6951750.142
5/15/2022,364427796.4,6948099.074
5/16/2022,405587470.1,6900093.06
5/17/2022,368904980,6740452.767
5/18/2022,389241613.8,6788308.577
5/19/2022,338172608.1,6751299.821
5/20/2022,350289065.6,6754513.413
5/21/2022,347960078.6,7066614.106
5/22/2022,354995755.8,7012954.481
5/23/2022,362831446.7,6869205.73
5/24/2022,340664776.1,6858562.031
5/25/2022,339571126.2,6889249.873
5/26/2022,326035667.5,6716845.231
5/27/2022,300894052.2,6950659.556
5/28/2022,277199576.6,6634743.336
5/29/2022,293474073.4,6650216.936
5/30/2022,295993433.3,6651537.828
5/31/2022,310563667.7,6571385.266
6/1/2022,296999954.8,6480470.321
6/2/2022,257248943.2,6474929.354
6/3/2022,263162414.3,6485027.459
6/4/2022,247056571.4,6457307.147
6/5/2022,253918818.7,6514079.496
6/6/2022,247990318.3,6268713.81
6/7/2022,282956674.2,6687702.061
6/8/2022,265870030.7,6691921.236
6/9/2022,259192927.6,6683675.285
6/10/2022,265491814.9,6697573.533
6/11/2022,250999914.3,6714818.466
6/12/2022,225118318.4,6652432.576
6/13/2022,200273045.3,6653589.545
6/14/2022,181984267.4,6513395.397
6/15/2022,192863486.6,6458924.534
6/16/2022,222890534.7,6362847.123
6/17/2022,190594300.3,6428138.29
6/18/2022,199330231.2,6409332.193
6/19/2022,200942098.6,6307033.854
6/20/2022,210669791.7,6273668.604
6/21/2022,255934854.8,7299910.291
6/22/2022,269376660.7,7468163.59
6/23/2022,258956273.8,7484285.369
6/24/2022,286077271,7444113.22
6/25/2022,313516234.2,7482487.69
6/26/2022,316950280.4,7555429.806
6/27/2022,295254221.6,7491860.483
6/28/2022,286741466.9,7502393.169
6/29/2022,267023693.5,7473375.133
6/30/2022,248339422.6,7382265.834
7/1/2022,256362146.6,7392218.759
7/2/2022,245207117.3,7403596.535
7/3/2022,244286484.9,7378027.331
7/4/2022,252508464.3,7526332.766
7/5/2022,276740911.2,7528316.408
7/6/2022,260812434.2,7273074.015
7/7/2022,279485933.7,7521149.991
7/8/2022,288204368.3,7499463.135
7/9/2022,287954557.3,7516433.236
7/10/2022,283977756.4,7520597.362
7/11/2022,274622597.1,7546650.099
7/12/2022,252771120.9,7543154.907
7/13/2022,248815686.4,7578912.164
7/14/2022,263356875,7576434.839
7/15/2022,280622564.9,7619401.709
7/16/2022,280180122.1,7578580.527
7/17/2022,306298005.8,7602333.228
7/18/2022,294806370.7,7602020.904
7/19/2022,339213065.5,7592056.076
7/20/2022,340235888.8,7587776.29
7/21/2022,319637427.6,7577938.066
7/22/2022,343275616.4,7973881.913
7/23/2022,327292219.5,7973013.874
7/24/2022,321391970.7,7961158.551
7/25/2022,325937461.6,7955515.295
7/26/2022,311823382.2,7956707.89
7/27/2022,287536578.9,7932043.555
7/28/2022,320366809,7965360.741
7/29/2022,342853281.2,7978898.796
7/30/2022,334736794.2,7943445.519
7/31/2022,349389505.7,7980573.451
8/1/2022,340985867.5,8004363.088
8/2/2022,334720681.9,8032653.754
8/3/2022,312481509.6,7827693.126
8/4/2022,312419031.3,7990256.554
8/5/2022,311860003,8002566.154
8/6/2022,327057171,8081471.98
8/7/2022,320064264.2,8027696.618
8/8/2022,324078617,7933381.077
8/9/2022,335165783.9,7925414.611
8/10/2022,314260471.5,7941887.073
8/11/2022,328295930.7,7686629.142
8/12/2022,329561934.4,7673153.304
8/13/2022,358854200,7649844.384
8/14/2022,355177268.9,7594125.911
8/15/2022,340103142.5,7469869.152
8/16/2022,338952783.6,7754582.1
8/17/2022,337725044.9,7724726.553
8/18/2022,326013250.4,7996400.551
8/19/2022,309123484.2,8004233.149
8/20/2022,296127894.7,8086507.227
8/21/2022,274387216.1,7773008.954
